min_Gmag_bin,max_Gmag_bin,factor_gp,factor_rp,factor_ip,factor_zp,factor_yp
4.0,5.0,3.3931589862841065,2.3170172115846417,5.37354140875043,3.1114651237473083,1.978890084548841
5.0,6.0,3.2329448719729457,1.9532636463281725,4.890834952909259,3.3234098672637553,2.041885390070336
6.0,7.0,3.3714822811861054,2.1464902958879364,4.399365520490105,3.4578149334420036,2.034401193057821
7.0,8.0,3.2465948582016093,2.2102650239103845,4.2545630272324635,3.6583807038346787,2.1063393532401777
8.0,9.0,2.807253322638451,2.0809413637111955,3.5544179683768697,3.25058679587218,1.9809446544347977
9.0,10.0,3.1090913544152947,2.466086511791831,3.9821875652727075,3.172995623657937,1.7879362922284798
10.0,11.0,3.280811951838297,2.3725037482100086,3.740091376804391,2.984116899571939,1.5863248822629643
11.0,12.0,2.661559116141328,1.8306339258502762,3.034590932723863,2.4315491712762736,1.4390883246288886
12.0,13.0,2.3583993753179886,1.8736766378636363,2.7358167033397325,2.6094191112834695,1.561286604285081
13.0,14.0,2.0929299693736896,1.5586013379735997,2.186535840448796,2.0412843881847893,1.4496623468605447
14.0,15.0,1.6048682146633468,1.3775574079877888,1.7542820367706358,1.6602840238400525,1.3680915955440636
15.0,16.0,1.4242492668184532,1.2324857020279365,1.550597408011619,1.4034824046533614,1.2755097009637901
16.0,17.0,1.3285841378006689,1.1534051997562864,1.4161849460827418,1.2701977262244921,1.1920742065721952
17.0,18.0,1.2085169189784941,1.1646436312775428,1.4253769676100536,1.3106921739792283,1.2577570663598154
18.0,19.0,1.2124430985609251,1.1121842301958602,1.3480407560192336,1.2556241304340632,1.1419904532387242
19.0,20.0,1.0026798793535354,0.9580866158685222,1.3015832589584537,1.1746917474856053,1.0944952710009597
20.0,21.0,0.8203569105251189,0.8573586522531957,1.317412997037894,1.15266760122572,0.9919190116329831
