min_Gmag_bin,max_Gmag_bin,factor_u,factor_v,factor_b,factor_y
4.0,5.0,1.426902412512895,1.0898723903025225,1.3147007116256146,0.9637587738153566
5.0,6.0,1.4133495423321203,1.0708450487210395,1.4161507711157633,0.9915844381500325
6.0,7.0,1.655041710456135,1.2350683671928118,1.4250269905028423,1.1374683203233722
7.0,8.0,1.2075719494358494,1.1267973652385779,1.3459196596245606,1.120193797024466
8.0,9.0,1.4902084947884973,0.9845514532158863,1.4565684183258294,1.01763341294385
9.0,10.0,1.5807017754921822,1.1427493095475132,1.4677196821236227,1.1693231026407127
10.0,11.0,1.3909786163882283,1.1131786528005128,1.4561023017858763,1.1758132329027462
11.0,12.0,1.3332469058706389,1.0627145818155364,1.327101100587714,0.9573465198926627
12.0,13.0,1.260992476225133,0.9824744358487475,1.1469328065455455,1.0899341392387623
13.0,14.0,1.2528900860737648,1.0337775087160508,1.1395679070524958,0.9973314346330857
14.0,15.0,1.2027213881998797,1.0625119337523217,1.0791802500339733,1.0270561328070649
15.0,16.0,1.1454856794611201,1.0404190285794563,1.0650235088828541,1.018540114542169
16.0,17.0,1.0962941665602792,1.0451918883438691,1.0587702997845232,1.0301699014164878
17.0,18.0,1.0786737277579792,1.0257828593553933,1.0529082729258785,1.0199495722973275
18.0,19.0,1.1030382622431332,1.0854650634960457,1.071622696530997,1.0511440419459173
19.0,20.0,1.1328883717611045,1.0366908277476679,1.0921864816601574,1.0151020603081347
20.0,21.0,1.1658055045482336,1.0967234753022885,1.1097910071973354,1.0234159857127239
